name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Arc Zapper,roider_arcZapper,2,,500,500,,20,100,0,50,5,,,,ENERGY,20,,0.15,0,,,0,15,2,5,,1500,,,,,,,"energy7, rare_bp, hist1t, roider, codex_unlockable",,Roider Union,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,2
Blasting Laser,roider_blastinglaser,0,,400,500,490,,,0,30,6,,,,ENERGY,,600,0.1,0.1,0.3,1,,,,,10000,,,,,,,"PD, ANTI_FTR, PD_ALSO","pd7, roider, roider_bp, codex_unlockable",,Roider Union,,Point Defense,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazard MRM,roider_hazard_mrm,0,,150,2000,,250,,15,30,1,4,,,HIGH_EXPLOSIVE,0,,0,8,4,0.25,0,0,0,0,,400,200,7.5,75,,,DO_NOT_AIM,"missile6, strike1, roider, roider_bp, codex_unlockable",,Roider Union,,Finisher,Medium,Medium,,,Missiles explode when destroyed. A failsafe mechanism ejects defective missiles when the launch rack is disabled.,,,,,
Zap SRM Launcher,roider_zap,1,,200,1000,,60,70,0,50,4,60,0.5,8,FRAGMENTATION,0,,0,3,4,0.1,0,0,0,0,,400,150,4,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile0, roider, roider_bp, codex_unlockable",,Roider Union,,Anti Fighter,Fast,Excellent,,,Each missile fires an electric arc at up to %s range when a target passes in front of it. Fighters take an extra %s EMP damage.,500 | 280,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary Hammer Launcher,roider_rotary_hammer,1,,800,1200,,1500,,30,12,12,11,,,HIGH_EXPLOSIVE,0,,0,0.5,1,0,8,8,0,0,,500,40,4,350,,,"CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, STRIKE","strike11, rocket8, roider, roider_bp",,Roider Union,,Torpedo,Fast,None,,,The drum can hold %s torpedoes and is reloaded %s torpedoes at a time from the internal magazine. Rotation of the drum resets the reload.,3 | 2,Drum reload delay (seconds): %s,4.45,TRUE,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpshooter,roider_marksman,1,,250,700,,75,,10,75,4,,,,FRAGMENTATION,25,,0,0.5,1,,0,0,0,10,,1000,,,100,,,"PD, ANTI_FTR","pd7, LR, roider, roider_bp, codex_unlockable",,Roider Union,,Point Defense,,,,,,,,,,109
Doldrums Chaingun,roider_doldrums,2,,600,500,,100,100,15,30,7,12,0.4,6,KINETIC,25,,0,7,6,0.1,0,15,3,5,,1000,,,50,,,,"kinetic8, roider, rare_bp, hist1t, merc, codex_unlockable",,Roider Union,,Anti Shield,,,,,,,,,,110
