name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,logistics n/a reason,codex variant id,breakProb,minPieces,maxPieces,travel drive,number
Breaker,roider_drone_breaker,,Roider Union,,,300,60,600,,100,0,,200,300,250,90,180,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Bolt,roider_bolt,,Roider Union,,,450,50,200,,30,0,,500,300,400,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Duster,roider_duster,,Roider Union,,,500,75,80,,40,0,,300,450,300,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Hopskip Mk.II,roider_hopskip2,,Roider Union,roider_hopskipBurn,,400,50,200,,30,0,,200,350,300,120,240,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,105
Rocksaw,roider_rocksaw,,Roider Union,,,800,250,200,,45,0,,120,180,150,90,180,60,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,106
Tracker,roider_armature,,Roider Union,,,800,150,200,,30,0,,220,300,250,90,180,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,108
Tracker (Single),roider_armature_left,,Roider Union,,,800,150,200,,30,0,,220,300,250,90,180,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,108.1
Glitz,roider_glitz,,Roider Union,roider_flareLauncher_fighter,,300,50,200,,30,0,,325,400,300,150,300,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,109
Garrucha,roider_garrucha,,Roider Union,,,1000,300,600,,50,0,,200,300,250,120,240,80,PHASE,phasecloak,90,,,0.02,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclops,roider_cyclops,Frigate,Roider Union,maneuveringjets,5,1200,250,2200,1900,130,33,,120,100,90,80,100,150,OMNI,,120,0.5,1.2,,,15,30,25,30,1,30,10,8000,8,10,240,0.25,4,4,,,,,,,,"roider, roider_bp, no_drop, merc",,,,0.5,2,2,,201
Pepperbox,roider_pepperbox,Frigate,Roider Union,maneuveringjets,4,1000,150,750,938,75,25,,90,80,50,45,60,200,FRONT,,150,0.5,1.2,,,5,20,30,40,1,40,9,7000,5,20,180,0.25,2,2,,,,,,,,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,2,,202
Cowboy,roider_cowboy,Light Carrier,Roider Union,targetingfeed,7,2000,200,1600,1500,120,50,1,135,125,95,60,120,300,FRONT,,200,0.6,1,,,25,50,25,40,1,40,10,10000,8,10,240,0.25,7,7,,,,,,,,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,2,,204
Roach,roider_roach,Heavy Frigate,Roider Union,temporalshell,8,2500,400,2000,1875,140,55,,120,105,90,70,120,350,NONE,,0,0,0,,,35,45,40,20,1,20,10,30000,7,20,180,0.25,6,6,,,,,,,SHIP_WITH_MODULES,"rare_bp, roider, roider_retrofit, merc",,,,0.5,2,2,,205
,roider_roach_armor,Prow Armor,Roider Union,roider_slaveTemporalShell,2,500,600,100,1667,100,0,,0,0,0,10,10,250,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,205.1
Rockroach,roider_rockroach,Heavy Frigate,Roider Union,roider_temporalshell,8,2500,400,2000,1875,140,55,,120,105,90,70,120,350,PHASE,damper,,,,,,35,45,40,20,1,20,10,30000,7,20,180,0.25,6,6,,,,,,,SHIP_WITH_MODULES,"rare_bp, roider_secret, roider_retrofit, merc, codex_unlockable, special_allows_system_use, system_allows_special_use",,,,0.5,2,2,,205
,roider_rockroach_armor,Prow Armor,Roider Union,roider_slaveTemporalShell,2,500,600,100,1667,100,0,,0,0,0,10,10,250,PHASE,roider_slaveDamper,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,205.1
Desperado,roider_sheriff,Frigate,Roider Union,roider_dreadLoaders,8,1800,300,2500,,200,50,,175,200,175,90,270,250,OMNI,,90,0.4,0.8,,,20,30,30,20,1,20,11,38000,10,20,180,0.25,8,8,,,,,,,WEAPONS_FRONT_TO_BACK,"roider_secret, rare_bp, codex_unlockable",0.75,,,0.5,2,2,,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calidor,roider_calidor,Carrier,Roider Union,roider_interdictor,14,6000,600,4000,1667,150,110,3,50,40,25,25,20,500,OMNI,,120,0.5,1,,,80,150,180,80,2,40,9,50000,5,12,360,0.25,16,16,,,,,,,CARRIER,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,301
Trailboss,roider_trailboss,Light Carrier,Roider Union,roider_flareLauncher,11,4000,400,2500,1667,150,90,2,60,40,25,25,20,500,OMNI,,120,0.5,1,,,80,150,120,80,2,40,9,40000,5,12,360,0.25,12,12,,,,,,,CARRIER,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,301
Firestorm,roider_firestorm,Destroyer,Roider Union,ammofeed,10,5000,600,6000,3333,250,60,,65,45,30,35,70,500,OMNI,,150,0.4,1.2,,,60,100,100,80,2,40,9,45000,5,12,360,0.25,10,10,,,,,,,SHIP_WITH_MODULES,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,302
,roider_firestorm_left,Port Armor,Roider Union,,2,600,900,100,1667,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,302.1
,roider_firestorm_right,Starboard Armor,Roider Union,,2,600,900,100,1667,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,302.2
Aurochs,roider_onager,Destroyer,Roider Union,burndrive,10,5000,650,4000,3333,200,75,1,55,45,25,25,15,550,OMNI,,120,0.6,1,,,80,120,80,80,2,40,9,40000,5,12,420,0.25,10,10,,,,,,,SHIP_WITH_MODULES,"roider, roider_bp, no_drop, merc",,,,0.5,2,3,,303
,roider_onager_armor,Prow Armor,Roider Union,,2,1000,975,100,1667,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,303.1
Ram Aurochs,roider_onager_damper,Destroyer,Roider Union,microburn,10,5000,650,4000,3333,200,75,1,55,45,25,25,15,550,PHASE,damper,,,,,,80,120,80,80,2,40,9,40000,5,12,420,0.25,10,10,,,,,,,SHIP_WITH_MODULES,"roider_secret, no_drop, codex_unlockable",,,,0.5,2,3,,303
,roider_onager_armor_damper,Prow Armor,Roider Union,,2,1000,975,100,1667,100,0,,0,0,0,10,10,400,PHASE,roider_slaveDamper,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,303.1
Bombard,roider_bombard,Destroyer,Roider Union,lidararray,10,3000,450,4500,3333,200,70,,40,30,20,25,25,500,FRONT,,120,0.5,1,,,50,60,60,30,2,15,9,30000,5,15,360,0.25,11,11,,,,,,,,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,305
